Time, Result, Description
"2014.12.19 00:08:00.857" ,"00","ESB Server OK"
"2014.12.19 00:09:00.622" ,"00","ESB Server OK"
"2014.12.19 00:10:00.605" ,"00","ESB Server OK"
"2014.12.19 00:11:00.619" ,"00","ESB Server OK"
"2014.12.19 00:18:00.785" ,"00","ESB Server OK"
"2014.12.19 00:19:00.628" ,"00","ESB Server OK"
"2014.12.19 00:20:00.627" ,"00","ESB Server OK"
"2014.12.19 00:21:00.602" ,"00","ESB Server OK"
"2014.12.19 00:22:00.601" ,"00","ESB Server OK"
"2014.12.19 00:23:01.052" ,"00","ESB Server OK"
"2014.12.19 00:24:00.632" ,"00","ESB Server OK"
"2014.12.19 00:25:00.693" ,"00","ESB Server OK"
"2014.12.19 00:26:00.613" ,"00","ESB Server OK"
"2014.12.19 00:27:00.628" ,"00","ESB Server OK"
"2014.12.19 00:28:00.611" ,"00","ESB Server OK"
"2014.12.19 00:29:00.610" ,"00","ESB Server OK"
"2014.12.19 00:30:00.608" ,"00","ESB Server OK"
"2014.12.19 00:31:00.623" ,"00","ESB Server OK"
"2014.12.19 00:32:00.590" ,"00","ESB Server OK"
"2014.12.19 00:33:00.604" ,"00","ESB Server OK"
"2014.12.19 00:34:00.603" ,"00","ESB Server OK"
"2014.12.19 00:35:00.617" ,"00","ESB Server OK"
"2014.12.19 00:36:00.616" ,"00","ESB Server OK"
"2014.12.19 00:37:00.604" ,"00","ESB Server OK"
"2014.12.19 00:38:00.603" ,"00","ESB Server OK"
"2014.12.19 00:39:00.596" ,"00","ESB Server OK"
"2014.12.19 01:15:00.865" ,"00","ESB Server OK"
"2014.12.19 01:17:00.891" ,"00","ESB Server OK"
"2014.12.19 02:18:00.947" ,"00","ESB Server OK"
"2014.12.19 02:19:00.655" ,"00","ESB Server OK"
"2014.12.19 02:20:00.625" ,"00","ESB Server OK"
"2014.12.19 02:21:00.624" ,"00","ESB Server OK"
"2014.12.19 02:22:00.671" ,"00","ESB Server OK"
"2014.12.19 02:23:00.607" ,"00","ESB Server OK"
"2014.12.19 02:24:00.620" ,"00","ESB Server OK"
"2014.12.19 02:25:00.638" ,"00","ESB Server OK"
"2014.12.19 12:22:00.779" ,"00","ESB Server OK"
"2014.12.19 12:23:00.638" ,"00","ESB Server OK"
"2014.12.19 12:24:00.617" ,"00","ESB Server OK"
"2014.12.19 12:25:00.612" ,"00","ESB Server OK"
"2014.12.19 12:26:00.609" ,"00","ESB Server OK"
"2014.12.19 12:28:00.856" ,"00","ESB Server OK"
"2014.12.19 12:30:00.868" ,"00","ESB Server OK"
