Time, Result, Description
"2014.12.31 00:00:01.001" ,"00","ESB Server OK"
"2014.12.31 00:00:15.666" ,"00","ESB Server OK"
"2014.12.31 00:00:30.565" ,"00","ESB Server OK"
"2014.12.31 00:00:45.807" ,"00","ESB Server OK"
"2014.12.31 00:01:00.644" ,"00","ESB Server OK"
"2014.12.31 00:01:15.917" ,"00","ESB Server OK"
"2014.12.31 00:01:30.577" ,"00","ESB Server OK"
"2014.12.31 00:01:45.710" ,"00","ESB Server OK"
"2014.12.31 00:02:00.609" ,"00","ESB Server OK"
"2014.12.31 00:02:16.030" ,"00","ESB Server OK"
"2014.12.31 00:02:30.648" ,"00","ESB Server OK"
"2014.12.31 00:02:45.656" ,"00","ESB Server OK"
"2014.12.31 00:03:00.586" ,"00","ESB Server OK"
"2014.12.31 00:03:15.595" ,"00","ESB Server OK"
"2014.12.31 00:03:31.134" ,"00","ESB Server OK"
"2014.12.31 00:03:45.643" ,"00","ESB Server OK"
"2014.12.31 00:04:00.792" ,"00","ESB Server OK"
"2014.12.31 00:04:15.646" ,"00","ESB Server OK"
"2014.12.31 00:04:30.810" ,"00","ESB Server OK"
"2014.12.31 00:04:45.974" ,"00","ESB Server OK"
"2014.12.31 00:05:00.577" ,"00","ESB Server OK"
"2014.12.31 00:05:15.632" ,"00","ESB Server OK"
"2014.12.31 00:05:30.749" ,"00","ESB Server OK"
"2014.12.31 00:05:45.648" ,"00","ESB Server OK"
"2014.12.31 00:06:00.890" ,"00","ESB Server OK"
"2014.12.31 00:06:15.665" ,"00","ESB Server OK"
"2014.12.31 00:06:30.782" ,"00","ESB Server OK"
"2014.12.31 00:06:45.650" ,"00","ESB Server OK"
"2014.12.31 00:07:00.876" ,"00","ESB Server OK"
"2014.12.31 00:07:15.635" ,"00","ESB Server OK"
"2014.12.31 00:07:30.737" ,"00","ESB Server OK"
"2014.12.31 00:07:45.636" ,"00","ESB Server OK"
"2014.12.31 00:08:00.863" ,"00","ESB Server OK"
"2014.12.31 00:08:15.668" ,"00","ESB Server OK"
"2014.12.31 00:08:30.723" ,"00","ESB Server OK"
"2014.12.31 00:08:45.622" ,"00","ESB Server OK"
"2014.12.31 00:09:00.958" ,"00","ESB Server OK"
"2014.12.31 00:09:15.654" ,"00","ESB Server OK"
"2014.12.31 00:09:30.709" ,"00","ESB Server OK"
"2014.12.31 00:09:45.749" ,"00","ESB Server OK"
"2014.12.31 00:10:01.131" ,"00","ESB Server OK"
"2014.12.31 00:10:15.625" ,"00","ESB Server OK"
"2014.12.31 00:10:30.742" ,"00","ESB Server OK"
"2014.12.31 00:10:45.579" ,"00","ESB Server OK"
"2014.12.31 00:11:01.008" ,"00","ESB Server OK"
"2014.12.31 00:11:15.689" ,"00","ESB Server OK"
"2014.12.31 00:11:30.572" ,"00","ESB Server OK"
"2014.12.31 00:11:45.892" ,"00","ESB Server OK"
"2014.12.31 00:12:00.589" ,"00","ESB Server OK"
"2014.12.31 00:12:15.883" ,"00","ESB Server OK"
"2014.12.31 00:12:30.704" ,"00","ESB Server OK"
"2014.12.31 00:12:45.603" ,"00","ESB Server OK"
"2014.12.31 00:13:00.784" ,"00","ESB Server OK"
"2014.12.31 00:13:16.213" ,"00","ESB Server OK"
"2014.12.31 00:13:30.598" ,"00","ESB Server OK"
"2014.12.31 00:13:45.762" ,"00","ESB Server OK"
"2014.12.31 00:14:00.645" ,"00","ESB Server OK"
"2014.12.31 00:14:15.716" ,"00","ESB Server OK"
"2014.12.31 00:14:30.818" ,"00","ESB Server OK"
"2014.12.31 00:14:45.779" ,"00","ESB Server OK"
"2014.12.31 00:15:00.631" ,"00","ESB Server OK"
"2014.12.31 00:15:15.608" ,"00","ESB Server OK"
"2014.12.31 00:15:30.804" ,"00","ESB Server OK"
"2014.12.31 00:15:45.859" ,"00","ESB Server OK"
"2014.12.31 00:16:00.572" ,"00","ESB Server OK"
"2014.12.31 00:16:15.862" ,"00","ESB Server OK"
"2014.12.31 00:16:30.917" ,"00","ESB Server OK"
"2014.12.31 00:16:45.878" ,"00","ESB Server OK"
"2014.12.31 00:17:00.840" ,"00","ESB Server OK"
"2014.12.31 00:17:15.598" ,"00","ESB Server OK"
"2014.12.31 00:17:30.575" ,"00","ESB Server OK"
"2014.12.31 00:17:45.599" ,"00","ESB Server OK"
"2014.12.31 00:18:01.028" ,"00","ESB Server OK"
"2014.12.31 00:18:15.912" ,"00","ESB Server OK"
"2014.12.31 00:18:30.889" ,"00","ESB Server OK"
"2014.12.31 00:18:45.663" ,"00","ESB Server OK"
"2014.12.31 00:19:01.046" ,"00","ESB Server OK"
"2014.12.31 00:19:15.586" ,"00","ESB Server OK"
"2014.12.31 00:19:31.015" ,"00","ESB Server OK"
"2014.12.31 00:19:45.774" ,"00","ESB Server OK"
"2014.12.31 00:20:00.579" ,"00","ESB Server OK"
"2014.12.31 00:20:15.931" ,"00","ESB Server OK"
"2014.12.31 00:20:30.892" ,"00","ESB Server OK"
"2014.12.31 00:20:45.698" ,"00","ESB Server OK"
"2014.12.31 00:21:00.581" ,"00","ESB Server OK"
"2014.12.31 00:21:16.167" ,"00","ESB Server OK"
"2014.12.31 00:21:30.800" ,"00","ESB Server OK"
"2014.12.31 00:21:45.809" ,"00","ESB Server OK"
"2014.12.31 00:22:00.692" ,"00","ESB Server OK"
"2014.12.31 00:22:16.090" ,"00","ESB Server OK"
"2014.12.31 00:22:30.755" ,"00","ESB Server OK"
"2014.12.31 00:22:45.592" ,"00","ESB Server OK"
"2014.12.31 00:23:00.756" ,"00","ESB Server OK"
"2014.12.31 00:23:16.092" ,"00","ESB Server OK"
"2014.12.31 00:23:30.663" ,"00","ESB Server OK"
"2014.12.31 00:23:45.594" ,"00","ESB Server OK"
"2014.12.31 00:24:00.852" ,"00","ESB Server OK"
"2014.12.31 00:24:15.798" ,"00","ESB Server OK"
"2014.12.31 00:24:30.775" ,"00","ESB Server OK"
"2014.12.31 00:24:45.847" ,"00","ESB Server OK"
"2014.12.31 00:25:01.011" ,"00","ESB Server OK"
"2014.12.31 00:25:15.598" ,"00","ESB Server OK"
"2014.12.31 00:25:30.591" ,"00","ESB Server OK"
"2014.12.31 00:25:45.864" ,"00","ESB Server OK"
"2014.12.31 00:26:00.872" ,"00","ESB Server OK"
"2014.12.31 00:26:15.912" ,"00","ESB Server OK"
"2014.12.31 00:26:30.856" ,"00","ESB Server OK"
"2014.12.31 00:26:45.630" ,"00","ESB Server OK"
"2014.12.31 00:27:00.857" ,"00","ESB Server OK"
"2014.12.31 00:27:15.726" ,"00","ESB Server OK"
"2014.12.31 00:27:30.656" ,"00","ESB Server OK"
"2014.12.31 00:27:45.882" ,"00","ESB Server OK"
"2014.12.31 00:28:00.906" ,"00","ESB Server OK"
"2014.12.31 00:28:15.587" ,"00","ESB Server OK"
"2014.12.31 00:28:30.595" ,"00","ESB Server OK"
"2014.12.31 00:28:45.884" ,"00","ESB Server OK"
"2014.12.31 00:29:01.126" ,"00","ESB Server OK"
"2014.12.31 00:29:15.777" ,"00","ESB Server OK"
"2014.12.31 00:29:30.832" ,"00","ESB Server OK"
"2014.12.31 00:29:45.731" ,"00","ESB Server OK"
"2014.12.31 00:30:01.987" ,"00","ESB Server OK"
"2014.12.31 00:30:15.779" ,"00","ESB Server OK"
"2014.12.31 00:30:30.631" ,"00","ESB Server OK"
"2014.12.31 00:30:45.656" ,"00","ESB Server OK"
"2014.12.31 00:31:00.711" ,"00","ESB Server OK"
"2014.12.31 00:31:16.187" ,"00","ESB Server OK"
"2014.12.31 00:31:30.579" ,"00","ESB Server OK"
"2014.12.31 00:31:45.577" ,"00","ESB Server OK"
"2014.12.31 00:32:00.586" ,"00","ESB Server OK"
"2014.12.31 00:32:15.594" ,"00","ESB Server OK"
"2014.12.31 00:32:30.883" ,"00","ESB Server OK"
"2014.12.31 00:32:45.657" ,"00","ESB Server OK"
"2014.12.31 00:33:00.666" ,"00","ESB Server OK"
"2014.12.31 00:33:16.048" ,"00","ESB Server OK"
"2014.12.31 00:33:30.933" ,"00","ESB Server OK"
"2014.12.31 00:33:46.066" ,"00","ESB Server OK"
"2014.12.31 00:34:00.762" ,"00","ESB Server OK"
"2014.12.31 00:34:15.801" ,"00","ESB Server OK"
"2014.12.31 00:34:30.778" ,"00","ESB Server OK"
"2014.12.31 00:34:45.709" ,"00","ESB Server OK"
"2014.12.31 00:35:00.779" ,"00","ESB Server OK"
"2014.12.31 00:35:15.804" ,"00","ESB Server OK"
"2014.12.31 00:35:30.579" ,"00","ESB Server OK"
"2014.12.31 00:35:45.786" ,"00","ESB Server OK"
"2014.12.31 00:36:00.669" ,"00","ESB Server OK"
"2014.12.31 00:36:15.802" ,"00","ESB Server OK"
"2014.12.31 00:36:30.937" ,"00","ESB Server OK"
"2014.12.31 00:36:45.680" ,"00","ESB Server OK"
"2014.12.31 00:37:00.798" ,"00","ESB Server OK"
"2014.12.31 00:37:16.148" ,"00","ESB Server OK"
"2014.12.31 00:37:30.782" ,"00","ESB Server OK"
"2014.12.31 00:37:45.603" ,"00","ESB Server OK"
"2014.12.31 00:38:00.737" ,"00","ESB Server OK"
"2014.12.31 00:38:16.074" ,"00","ESB Server OK"
"2014.12.31 00:38:30.600" ,"00","ESB Server OK"
"2014.12.31 00:38:45.593" ,"00","ESB Server OK"
"2014.12.31 00:39:00.898" ,"00","ESB Server OK"
"2014.12.31 00:39:15.891" ,"00","ESB Server OK"
"2014.12.31 00:39:30.899" ,"00","ESB Server OK"
"2014.12.31 00:39:45.689" ,"00","ESB Server OK"
"2014.12.31 00:40:00.775" ,"00","ESB Server OK"
"2014.12.31 00:40:15.861" ,"00","ESB Server OK"
"2014.12.31 00:40:30.584" ,"00","ESB Server OK"
"2014.12.31 00:40:46.257" ,"00","ESB Server OK"
"2014.12.31 00:41:00.766" ,"00","ESB Server OK"
"2014.12.31 00:41:15.603" ,"00","ESB Server OK"
"2014.12.31 00:41:30.783" ,"00","ESB Server OK"
"2014.12.31 00:41:45.964" ,"00","ESB Server OK"
"2014.12.31 00:42:00.956" ,"00","ESB Server OK"
"2014.12.31 00:42:15.763" ,"00","ESB Server OK"
"2014.12.31 00:42:30.833" ,"00","ESB Server OK"
"2014.12.31 00:42:45.670" ,"00","ESB Server OK"
"2014.12.31 00:43:00.803" ,"00","ESB Server OK"
"2014.12.31 00:43:15.844" ,"00","ESB Server OK"
"2014.12.31 00:43:30.760" ,"00","ESB Server OK"
"2014.12.31 00:43:45.612" ,"00","ESB Server OK"
"2014.12.31 00:44:00.982" ,"00","ESB Server OK"
"2014.12.31 00:44:15.912" ,"00","ESB Server OK"
"2014.12.31 00:44:30.873" ,"00","ESB Server OK"
"2014.12.31 00:44:45.727" ,"00","ESB Server OK"
"2014.12.31 00:45:00.673" ,"00","ESB Server OK"
"2014.12.31 00:45:16.086" ,"00","ESB Server OK"
"2014.12.31 00:45:30.833" ,"00","ESB Server OK"
"2014.12.31 00:45:45.652" ,"00","ESB Server OK"
"2014.12.31 00:46:00.925" ,"00","ESB Server OK"
"2014.12.31 00:46:16.074" ,"00","ESB Server OK"
"2014.12.31 00:46:30.786" ,"00","ESB Server OK"
"2014.12.31 00:46:45.638" ,"00","ESB Server OK"
"2014.12.31 00:47:00.615" ,"00","ESB Server OK"
"2014.12.31 00:47:15.876" ,"00","ESB Server OK"
"2014.12.31 00:47:30.572" ,"00","ESB Server OK"
"2014.12.31 00:47:45.596" ,"00","ESB Server OK"
