Time, Result, Description
"2015.01.06 09:43:01.352" ,"00","ESB Server OK"
"2015.01.06 09:43:30.776" ,"00","ESB Server OK"
"2015.01.06 09:43:45.894" ,"00","ESB Server OK"
"2015.01.06 09:44:00.793" ,"00","ESB Server OK"
"2015.01.06 09:44:15.739" ,"00","ESB Server OK"
"2015.01.06 09:44:30.700" ,"00","ESB Server OK"
"2015.01.06 09:44:45.693" ,"00","ESB Server OK"
"2015.01.06 09:45:00.966" ,"00","ESB Server OK"
"2015.01.06 09:45:15.693" ,"00","ESB Server OK"
"2015.01.06 09:45:30.686" ,"00","ESB Server OK"
"2015.01.06 09:45:45.663" ,"00","ESB Server OK"
"2015.01.06 09:46:01.170" ,"00","ESB Server OK"
"2015.01.06 09:46:15.681" ,"00","ESB Server OK"
"2015.01.06 09:46:30.673" ,"00","ESB Server OK"
"2015.01.06 10:57:45.812" ,"00","ESB Server OK"
"2015.01.06 10:58:00.711" ,"00","ESB Server OK"
"2015.01.06 10:58:15.969" ,"00","ESB Server OK"
"2015.01.06 10:58:30.543" ,"00","ESB Server OK"
"2015.01.06 10:58:45.535" ,"00","ESB Server OK"
"2015.01.06 10:59:00.528" ,"00","ESB Server OK"
"2015.01.06 10:59:15.520" ,"00","ESB Server OK"
"2015.01.06 10:59:30.965" ,"00","ESB Server OK"
"2015.01.06 10:59:45.521" ,"00","ESB Server OK"
"2015.01.06 11:00:00.530" ,"00","ESB Server OK"
"2015.01.06 11:00:15.554" ,"00","ESB Server OK"
"2015.01.06 11:00:30.532" ,"00","ESB Server OK"
"2015.01.06 11:00:45.558" ,"00","ESB Server OK"
"2015.01.06 11:01:00.560" ,"00","ESB Server OK"
"2015.01.06 11:01:15.553" ,"00","ESB Server OK"
"2015.01.06 11:01:30.545" ,"00","ESB Server OK"
"2015.01.06 11:01:45.538" ,"00","ESB Server OK"
"2015.01.06 11:02:00.728" ,"00","ESB Server OK"
"2015.01.06 11:02:15.534" ,"00","ESB Server OK"
"2015.01.06 11:02:30.526" ,"00","ESB Server OK"
"2015.01.06 11:02:45.535" ,"00","ESB Server OK"
"2015.01.06 11:03:00.512" ,"00","ESB Server OK"
"2015.01.06 11:03:16.003" ,"00","ESB Server OK"
"2015.01.06 11:03:30.512" ,"00","ESB Server OK"
"2015.01.06 11:03:45.521" ,"00","ESB Server OK"
"2015.01.06 11:04:00.513" ,"00","ESB Server OK"
"2015.01.06 11:04:15.932" ,"00","ESB Server OK"
"2015.01.06 11:04:30.519" ,"00","ESB Server OK"
"2015.01.06 11:04:45.521" ,"00","ESB Server OK"
"2015.01.06 11:05:00.514" ,"00","ESB Server OK"
"2015.01.06 11:05:15.522" ,"00","ESB Server OK"
"2015.01.06 11:05:30.733" ,"00","ESB Server OK"
"2015.01.06 11:05:45.554" ,"00","ESB Server OK"
"2015.01.06 11:06:00.734" ,"00","ESB Server OK"
"2015.01.06 11:06:15.524" ,"00","ESB Server OK"
"2015.01.06 11:06:30.516" ,"00","ESB Server OK"
"2015.01.06 11:06:45.713" ,"00","ESB Server OK"
"2015.01.06 11:07:00.518" ,"00","ESB Server OK"
"2015.01.06 11:07:15.511" ,"00","ESB Server OK"
"2015.01.06 11:07:30.535" ,"00","ESB Server OK"
"2015.01.06 11:07:45.512" ,"00","ESB Server OK"
"2015.01.06 11:08:00.754" ,"00","ESB Server OK"
"2015.01.06 11:08:15.513" ,"00","ESB Server OK"
"2015.01.06 11:08:30.552" ,"00","ESB Server OK"
"2015.01.06 11:08:45.513" ,"00","ESB Server OK"
"2015.01.06 11:09:00.524" ,"00","ESB Server OK"
"2015.01.06 11:09:15.860" ,"00","ESB Server OK"
"2015.01.06 11:09:30.510" ,"00","ESB Server OK"
"2015.01.06 11:09:45.518" ,"00","ESB Server OK"
"2015.01.06 11:10:00.511" ,"00","ESB Server OK"
"2015.01.06 11:10:15.519" ,"00","ESB Server OK"
"2015.01.06 11:10:30.745" ,"00","ESB Server OK"
"2015.01.06 11:10:45.520" ,"00","ESB Server OK"
"2015.01.06 11:11:00.516" ,"00","ESB Server OK"
"2015.01.06 11:11:15.613" ,"00","ESB Server OK"
"2015.01.06 11:11:30.590" ,"00","ESB Server OK"
"2015.01.06 11:11:45.786" ,"00","ESB Server OK"
"2015.01.06 11:12:00.716" ,"00","ESB Server OK"
"2015.01.06 11:12:15.599" ,"00","ESB Server OK"
"2015.01.06 11:12:30.592" ,"00","ESB Server OK"
"2015.01.06 11:12:45.600" ,"00","ESB Server OK"
"2015.01.06 11:13:00.889" ,"00","ESB Server OK"
"2015.01.06 11:13:15.586" ,"00","ESB Server OK"
"2015.01.06 11:13:46.523" ,"00","ESB Server OK"
"2015.01.06 11:15:00.896" ,"00","ESB Server OK"
"2015.01.06 11:15:15.624" ,"00","ESB Server OK"
"2015.01.06 11:15:30.618" ,"00","ESB Server OK"
"2015.01.06 11:15:45.629" ,"00","ESB Server OK"
"2015.01.06 11:16:00.859" ,"00","ESB Server OK"
"2015.01.06 11:16:15.789" ,"00","ESB Server OK"
"2015.01.06 11:16:30.605" ,"00","ESB Server OK"
